confidence,mid_gap,edge,annualised,days_to_settle,edge_leg,cost_per_contract,priced_at_top_of_book,a_venue,a_mid,b_venue,b_mid,a_question,b_question,a_id,b_url,title_similarity,rules_similarity,days_apart,warnings
0.5171,0.0850,0.0555,1.7809,20.4,buy YES predictit / NO polymarket,0.9445,True,polymarket,0.115,predictit,0.03,Will Aaron Guckian win the 2026 Rhode Island Governor Republican primary election?,Which party will win the 2026 US Senate election in Rhode Island? — Republican,0x576df0755393742f793a7a67016d482cd37ef1ef9d0623cc14fddafcadf1d83f,https://www.predictit.org/markets/detail/8382/Which-party-will-win-the-2026-US-Senate-election-in-Rhode-Island,0.5580,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.4963,-0.0725,0.0455,1.3028,20.4,buy YES polymarket / NO predictit,0.9545,True,polymarket,0.8925000000000001,predictit,0.965,Will Helena Foulkes win the 2026 Rhode Island Governor Democratic primary election?,Which party will win the 2026 US Senate election in Rhode Island? — Democratic,0xf125ec027b10cfc944d90a8e12558a05191214a774501382d85bed74773a2b23,https://www.predictit.org/markets/detail/8382/Which-party-will-win-the-2026-US-Senate-election-in-Rhode-Island,0.5293,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6060,-0.2085,0.0789,0.9090,46.4,buy YES polymarket / NO predictit,0.9211,True,polymarket,0.08149999999999999,predictit,0.29000000000000004,Will Flávio Bolsonaro win the first round of the 2026 Brazilian presidential election by 5–10%? — Flávio Bolsonaro 5-10%,Who will win the 2026 Brazilian presidential election? — Flávio Bolsonaro,0x3a539f4052dc3340948b9f56119fbee92919f7bf9bb3cc73fd7feeb310d030d4,https://www.predictit.org/markets/detail/8544/Who-will-win-the-2026-Brazilian-presidential-election,0.8183,,,"one side states a numeric threshold, the other does not; resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown"
0.4562,-0.0325,0.0174,0.6147,13.4,buy YES polymarket / NO predictit,0.9826,True,polymarket,0.0075,predictit,0.04,Will Mike Kennealy win the 2026 Massachusetts Governor Republican primary election?,Which party will win the 2026 US Senate election in Massachusetts? — Republican,0x36796df689a799e37af4db95c281bebd0f0fb370c25c0874a39a2184d92f7231,https://www.predictit.org/markets/detail/8381/Which-party-will-win-the-2026-US-Senate-election-in-Massachusetts,0.4742,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.5150,0.1100,0.0947,0.6089,76.4,buy YES predictit / NO polymarket,0.9053,True,polymarket,0.125,predictit,0.015,"2026 Balance of Power: R Senate, R House — Republicans Sweep","What will be the balance of power in Congress after the 2026 election? — R House, D Senate",0xc5eae79d1ffe716572353962eb926b1e3964c500a4880a7a94f58408218ee76b,https://www.predictit.org/markets/detail/8600/What-will-be-the-balance-of-power-in-Congress-after-the-2026-election,0.5551,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6120,0.0390,0.0319,0.2906,46.4,buy YES predictit / NO polymarket,0.9681,True,polymarket,0.049,predictit,0.01,Will Romeu Zema finish in third place in the first round of the 2026 Brazilian presidential election?,Who will win the 2026 Brazilian presidential election? — Romeu Zema,0x7452216a57a3bef85439820c7bb421fa38e5a5ecff8c43658de515c1df70151e,https://www.predictit.org/markets/detail/8544/Who-will-win-the-2026-Brazilian-presidential-election,0.6888,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.6467,-0.0700,0.0475,0.2618,76.4,buy YES polymarket / NO predictit,0.9525,True,polymarket,0.495,predictit,0.565,Will the Republican Party control the Senate after the 2026 Midterm elections?,Which party will control the Senate after the 2026 election? — Republican,0x86bfb53af7250a40928975c551d12c185b762fa4ce0b40c6a64a50c946d72587,https://www.predictit.org/markets/detail/8155/Which-party-will-control-the-Senate-after-the-2026-election,0.7366,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.5552,0.1400,0.0752,0.2345,135.4,buy YES predictit / NO polymarket,0.9248,True,polymarket,0.245,predictit,0.105,Will Trump meet with Changpeng Zhao in 2026?,Will Trump meet with Pope Leo in 2026?,0xfad2167317be5a9fa5f7d2290494692d320a93dced3a4160119894d48e960a40,https://www.predictit.org/markets/detail/8707/Will-Trump-meet-with-Pope-Leo-in-2026,0.4560,,1.0,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.5190,-0.0275,0.0074,0.2249,13.4,buy YES polymarket / NO predictit,0.9926,True,polymarket,0.0075,predictit,0.035,Will Mike Kennealy win the 2026 Massachusetts Governor Republican primary election?,Which party will win the 2026 election for governor of Massachusetts? — Republican,0x36796df689a799e37af4db95c281bebd0f0fb370c25c0874a39a2184d92f7231,https://www.predictit.org/markets/detail/8403/Which-party-will-win-the-2026-election-for-governor-of-Massachusetts,0.5606,,,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
0.4582,-0.1045,0.0667,0.2045,135.4,buy YES polymarket / NO predictit,0.9333,True,polymarket,0.0805,predictit,0.185,Record crypto liquidation in 2026?,Will crypto regulation (Clarity Act) be enacted in 2026?,0x8aea4707af4ca2b029db4143bb020f0c8bf95d2c0d088186009471fb588f2f4a,https://www.predictit.org/markets/detail/8804/Will-crypto-regulation-(Clarity-Act)-be-enacted-in-2026,0.3223,,0.0,resolution text missing on one venue — rules not compared; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown; PredictIt takes 10% of net profit and 5% on withdrawal -- realised edge is below the figure shown
